purchase_month,orders,merchandise_gmv_brl,average_order_gmv_brl,late_delivery_rate,average_review,complete_month
2016-09,1,134.97,134.97,1.0,1.0,False
2016-10,265,40325.11,152.17022641509433,0.007547169811320755,4.011450381679389,False
2016-12,1,10.9,10.9,0.0,5.0,False
2017-01,750,111798.36,149.06448,0.029333333333333333,4.198380566801619,True
2017-02,1653,234223.4,141.69594676346037,0.029643073200241985,4.203286670724284,True
2017-03,2546,359198.85,141.0836017282011,0.04556166535742341,4.186782746339533,True
2017-04,2303,340669.68,147.9243074250977,0.06556665219279201,4.135371179039302,True
2017-05,3545,489159.25,137.98568406205925,0.029901269393511988,4.236280921239693,True
2017-06,3135,421923.37,134.58480701754385,0.030303030303030304,4.222757955641273,True
2017-07,3872,481604.52,124.3813326446281,0.027892561983471075,4.259500260281103,True
2017-08,4193,554699.7,132.29184354877174,0.02909611256856666,4.312845138055222,True
2017-09,4150,607399.67,146.36136626506024,0.04385542168674699,4.267848470131131,True
2017-10,4478,648247.65,144.76276239392587,0.041759714158106295,4.204903283850652,True
2017-11,7288,987648.07,135.5170238748628,0.12403951701427003,3.9888075169269035,True
2017-12,5513,726033.1900000001,131.694756031199,0.07455106112824234,4.088445339681377,True
2018-01,7069,924645.0,130.80280096194653,0.05700947800254633,4.108512762013404,True
2018-02,6555,826437.13,126.0773653699466,0.14126620900076278,3.880590133702167,True
2018-03,7003,953356.25,136.13540625446237,0.18963301442239042,3.812607944732297,True
2018-04,6798,973534.09,143.2088982053545,0.04501323918799647,4.205864928909953,True
2018-05,6749,977544.6900000001,144.84289376203884,0.06563935397836716,4.236387979767926,True
2018-06,6096,855591.97,140.35301345144356,0.011646981627296589,4.307312252964427,True
2018-07,6156,867486.47,140.91723034437948,0.03378817413905133,4.317423994769532,True
2018-08,6351,838576.64,132.03851991812314,0.061880018894662256,4.310268562401264,True
